"","corpus_name","num_chi"
"1","Bliss",2
"2","Bloom",1
"3","Bohannon",1
"4","Braunwald",1
"5","Brown",2
"6","Clark",1
"7","Davis",1
"8","Demetras1",1
"9","Gelman",1
"10","Gleason",5
"11","Gopnik",1
"12","Hall",33
"13","HSLLD",1
"14","Kuczaj",1
"15","MacWhinney",1
"16","PetersonMcCabe",1
"17","Providence",5
"18","Sachs",1
"19","Snow",1
"20","Suppes",1
"21","VanHouten",1
"22","VanKleeck",2
"23","Warren",1
"24","Weist",5
