"","corpus_name","num_chi"
"1","Bliss",1
"2","Bloom",1
"3","Bohannon",1
"4","Braunwald",1
"5","Brown",2
"6","Clark",1
"7","Davis",1
"8","Demetras1",1
"9","Gelman",1
"10","Gleason",2
"11","Gopnik",1
"12","HSLLD",1
"13","Kuczaj",1
"14","MacWhinney",1
"15","Providence",5
"16","Sachs",1
"17","Snow",1
"18","Suppes",1
"19","VanHouten",1
"20","VanKleeck",2
"21","Weist",4
