"","stem","tokens","num_chi"
"1","attach",17,10
"2","connect",14,5
"3","fight",87,33
"4","hug",16,5
"5","join",10,6
"6","kiss",64,29
"7","marry",19,9
"8","match",67,14
"9","meet",61,32
"10","separate",6,5
"11","touch",209,50
"12","trade",6,5
