"","stem","tokens","num_chi"
"1","attack",2,1
"2","bite",65,23
"3","bump",18,11
"4","buy",236,38
"5","celebrate",1,1
"6","check",34,16
"7","choose",10,6
"8","cover",18,11
"9","drop",67,28
"10","hold",213,42
"11","invite",5,3
"12","kick",88,21
"13","knot",1,1
"14","lick",20,13
"15","pet",4,3
"16","pull",109,34
"17","punch",23,14
"18","push",88,28
"19","sell",7,6
"20","tap",4,3
"21","teach",25,12
"22","tickle",23,9
"23","tie",68,25
