"","stem","tokens","num_chi"
"1","attack",3,2
"2","bite",197,46
"3","bump",67,25
"4","buy",472,71
"5","celebrate",2,2
"6","check",70,30
"7","choose",53,16
"8","cover",49,24
"9","drop",144,49
"10","greet",1,1
"11","hold",578,92
"12","invite",15,9
"13","kick",145,38
"14","knot",1,1
"15","lick",66,24
"16","pet",26,13
"17","pull",291,69
"18","punch",80,21
"19","push",289,70
"20","sell",20,13
"21","tap",4,3
"22","teach",56,29
"23","tickle",44,20
"24","tie",171,41
