"","corpus_name","tokens"
"1","Bliss",7
"2","Bloom",9
"3","Bohannon",31
"4","Braunwald",105
"5","Brown",366
"6","Clark",58
"7","Davis",1
"8","Demetras1",16
"9","Gelman",8
"10","Gleason",76
"11","Gopnik",7
"12","HSLLD",96
"13","Kuczaj",202
"14","MacWhinney",33
"15","Morisset",9
"16","Providence",125
"17","Sachs",19
"18","Snow",66
"19","Suppes",91
"20","VanHouten",78
"21","VanKleeck",34
"22","Weist",278
